parent,definition,children,translation,label
inertia,(physics) the tendency of a body to maintain its state of rest or uniform motion unless acted upon by an external force,moment of inertia,,-1
radioisotope,a radioactive isotope of an element; produced either naturally or artificially,"label,tracer",,-1
hill,-,knoll,,-1
pleading,-,complaint,,-1
accountant,-,auditor,,-1
pipet,measuring instrument consisting of a graduated glass tube used to measure or transfer precise volumes of a liquid by drawing the liquid up into the tube,dropper,,-1
army unit,-,troop,,-1
permanent magnet,a magnet that retains its magnetism after being removed from a magnetic field,lodestone,,-1
pincer,a hand tool for holding consisting of a compound lever for grasping,roach clip,,-1
cash,money in the form of bills or coins,"change,change,small change,ready cash,pocket money",,-1
two,-,couple,,-1
geographic point,-,workplace,,-1
marital status,-,marriage,,-1
diving board,a springboard from which swimmers can dive,highboard,,-1
closed corporation,a corporation owned by a few people; shares have no public market,family business,,-1
depression,pushing down,click,,-1
tetrapod,a vertebrate animal having four feet or legs or leglike appendages,quadruped,,-1
aeronautics,the theory and practice of navigation through air or space,avionics,,-1
commissioned naval officer,-,flag officer,,-1
crocodile,large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters,African crocodile,,-1
good health,-,energy,,-1
vegetable,edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant,"artichoke,artichoke heart,asparagus,bamboo shoot,cardoon,truffle,fennel,gumbo,julienne,leek,mushroom,pieplant,plantain,potherb,pumpkin,raw vegetable",,-1
orientation,position or alignment relative to points of the compass or other specific directions,"horizontal,quarter,vertical",,-1
rosewood,any of those hardwood trees of the genus Dalbergia that yield rosewood--valuable cabinet woods of a dark red or purplish color streaked and variegated with black,Brazilian rosewood,,-1
inclusion,the act of including,incorporation,,-1
comity,a state or atmosphere of harmony or mutual civility and respect,comity of nations,,-1
aldol,an oily colorless liquid obtained by the condensation of two molecules of acetaldehyde; contains an alcohol group (-OH) and an aldehyde group (-CHO),acetaldol,,-1
embankment,-,rampart,,-1
witch hazel,any of several shrubs or trees of the genus Hamamelis; bark yields an astringent lotion,vernal witch hazel,,-1
metric weight unit,-,kilogram,,-1
thrombocytopenia,a blood disease characterized by an abnormally small number of platelets in the blood,essential thrombocytopenia,,-1
self-pollination,fertilization by transfer of pollen from the anthers to the stigma of the same flower,cleistogamy,,-1
complement fixation test,a blood test in which a sample of serum is exposed to a particular antigen and complement in order to determine whether or not antibodies to that particular antigen are present; used as a diagnostic test,Wassermann test,,-1
bedroom furniture,furniture intended for use in a bedroom,bed,,-1
philosophical doctrine,a doctrine accepted by adherents to a philosophy,"aesthetic,Aristotelianism,conceptualism,Confucianism,Taoism,deconstruction,environmentalism,existentialism,formalism,hereditarianism,idealism,intuitionism,logicism,mechanism,mentalism,realism,nativism,naturalism,Neoplatonism,nominalism,operationalism,Platonism,probabilism,rationalism,relativism,Scholasticism,semiotics,sensualism,solipsism,Stoicism,subjectivism,teleology,traditionalism,vitalism",,-1
flywheel,regulator consisting of a heavy wheel that stores kinetic energy and smooths the operation of a reciprocating engine,fluid flywheel,,-1
religious doctrine,the written body of teachings of a religious group that are generally accepted by that group,"ahimsa,confession,ecumenism,Immaculate Conception,Incarnation,Nicene Creed,original sin,real presence",,-1
wheatgrass,a grass of the genus Agropyron,"crested wheatgrass,intermediate wheatgrass,slender wheatgrass",,-1
persuasion,-,exhortation,,-1
storeroom,-,strongroom,,-1
mansard,a hip roof having two slopes on each side,French roof,,-1
towel,-,bath towel,,-1
endomorph,a heavy person with a soft and rounded body,pudge,,-1
ragweed,any of numerous chiefly North American weedy plants constituting the genus Ambrosia that produce highly allergenic pollen responsible for much hay fever and asthma,"common ragweed,western ragweed,great ragweed",,-1
scad,any of a number of fishes of the family Carangidae,"bigeye scad,round scad,mackerel scad,horse mackerel,horse mackerel",,-1
"adjective,adverb",a word that expresses an attribute of something,comparative,,-1
packing material,-,cardboard,,-1
infantry,an army unit consisting of soldiers who fight on foot,paratroops,,-1
pervert,-,masochist,,-1
"hydroxide,lye",a compound of an oxide with water,sodium hydroxide,,-1
cut of pork,-,ham,,-1
continental glacier,a glacier that spreads out from a central mass of ice,polar glacier,,-1
exclusion,the state of being excluded,banishment,,-1
mental disorder,-,personality disorder,,-1
conciliator,someone who tries to bring peace,appeaser,,-1
perceiver,-,spectator,,-1
fungus order,the order of fungi,"Agaricales,Aphyllophorales,Eurotiales,Auriculariales,Blastocladiales,Chytridiales,Endomycetales,Entomophthorales,Erysiphales,Helotiales,Hymenogastrales,Hypocreales,Lechanorales,Lichenales,Lycoperdales,Moniliales,Mucorales,Mycelia Sterilia,Nidulariales,Peronosporales,Pezizales,Saprolegniales,Sclerodermatales,Secotiales,Sphaeriales,Tremellales,Tuberales,Tulostomatales,Uredinales,Ustilaginales",,-1
instinct,inborn pattern of behavior often responsive to specific stimuli,id,,-1
ambystomid,small to moderate-sized terrestrial or semiaquatic New World salamander,"spotted salamander,axolotl,mole salamander,tiger salamander,waterdog",,-1
field mouse,any nocturnal Old World mouse of the genus Apodemus inhabiting woods and fields and gardens,European wood mouse,,-1
bovid,-,wild sheep,,-1
ambassador,a diplomat of the highest rank; accredited as representative from one country to another,ambassadress,,-1
ocean current,-,equatorial current,,-1
tracked vehicle,-,snowmobile,,-1
disposition,your usual mood,"animalism,blood,bloodiness,epicurism,esprit de corps,gourmandism,heart,moodiness,optimism,perfectionism,pessimism",,-1
polypody,any of numerous ferns of the genus Polypodium,"common polypody,rock polypody",,-1
diagnostic test,-,skin test,,-1
motion-picture film,photographic film several hundred feet long and wound on a spool; to be used in a movie camera,sound film,,-1
enormousness,unusual largeness in size or extent or number,enormity,,-1
sulfate,-,magnesium sulfate,,-1
